"106年05月24日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,531.85","+","45.96",="0.40",
"發行量加權股價指數","10,044.42","+","36.58",="0.37",
"臺灣公司治理100指數","5,655.40","+","19.02",="0.34",
"臺灣50指數","7,626.22","+","21.49",="0.28",
"臺灣中型100指數","6,948.18","+","27.08",="0.39",
"臺灣資訊科技指數","9,240.43","+","44.27",="0.48",
"臺灣發達指數","8,602.10","+","19.81",="0.23",
"臺灣高股息指數","5,817.55","+","2.51",="0.04",
"臺灣就業99指數","5,891.29","+","9.18",="0.16",
"臺灣高薪100指數","5,554.95","+","14.74",="0.27",
"臺灣低波動高股息指數","1,446.02","+","1.39",="0.10",
"未含金融保險股指數","8,543.92","+","35.90",="0.42",
"未含電子股指數","13,530.38","+","56.18",="0.42",
"未含金融電子股指數","11,626.32","+","68.61",="0.59",
"小型股300指數","5,952.97","+","22.08",="0.37",
"漲升股利150指數","5,770.64","+","17.80",="0.31",
"漲升股利100指數","5,754.11","+","20.59",="0.36",
"藍籌30指數","5,285.72","+","15.22",="0.29",
"工業菁英30指數","5,463.68","+","35.48",="0.65",
"電子菁英30指數","5,525.14","+","18.42",="0.33",
"低波動精選30指數","5,248.92","+",="0.49",="0.01",
"低貝塔100指數","5,323.17","+","21.69",="0.41",
"中小型精選50指數","5,021.28","+","9.00",="0.18",
"中小型A級動能50指數","5,384.24","+","48.64",="0.91",
"藍籌30反向一倍指數","9,428.06","-","27.30","-0.29",
"水泥窯製類指數","435.50","+",="0.27",="0.06",
"塑膠化工類指數","843.41","+","2.04",="0.24",
"機電類指數","2,359.22","+","7.36",="0.31",
"水泥類指數","113.43","+",="0.04",="0.04",
"食品類指數","1,465.41","+","11.04",="0.76",
"塑膠類指數","254.16","+",="0.09",="0.04",
"紡織纖維類指數","479.73","+","2.08",="0.44",
"電機機械類指數","169.30","-",="0.19","-0.11",
"電器電纜類指數","41.27","+",="0.37",="0.90",
"化學生技醫療類指數","97.07","+",="0.35",="0.36",
"化學類指數","98.95","+",="0.38",="0.39",
"生技醫療類指數","66.90","+",="0.21",="0.31",
"玻璃陶瓷類指數","37.72","+",="0.07",="0.19",
"造紙類指數","203.89","+","1.71",="0.85",
"鋼鐵類指數","99.25","+",="0.44",="0.45",
"橡膠類指數","310.18","+","3.70","1.21",
"汽車類指數","275.88","+","7.68","2.86",
"電子類指數","420.21","+","1.35",="0.32",
"半導體類指數","144.64","+",="0.64",="0.44",
"電腦及週邊設備類指數","102.87","+",="0.69",="0.68",
"光電類指數","43.97","+",="0.21",="0.48",
"通信網路類指數","124.92","-",="0.03","-0.02",
"電子零組件類指數","89.50","+",="0.14",="0.16",
"電子通路類指數","115.21","-",="0.37","-0.32",
"資訊服務類指數","91.94","+",="0.04",="0.04",
"其他電子類指數","106.51","+",="0.06",="0.06",
"建材營造類指數","261.31","-",="0.11","-0.04",
"航運類指數","61.49","+",="0.08",="0.13",
"觀光類指數","122.25","+","1.83","1.52",
"金融保險類指數","1,108.74","-",="0.22","-0.02",
"貿易百貨類指數","232.08","+","2.20",="0.96",
"油電燃氣類指數","134.24","+","1.78","1.34",
"其他類指數","249.18","+","1.34",="0.54",
"臺指日報酬兩倍指數","14,689.23","+","106.60",="0.73",
"臺指日報酬反向一倍指數","7,918.82","-","29.05","-0.37",
"電子類兩倍槓桿指數","12,047.75","+","77.16",="0.64",
"電子類反向指數","8,471.08","-","27.39","-0.32",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","12,841.77","+","51.19",="0.40",
"發行量加權股價報酬指數","16,560.91","+","60.30",="0.37",
"臺灣公司治理100報酬指數","6,130.68","+","20.62",="0.34",
"臺灣50報酬指數","12,714.95","+","35.82",="0.28",
"臺灣中型100報酬指數","10,778.78","+","42.01",="0.39",
"臺灣資訊科技報酬指數","14,649.84","+","70.19",="0.48",
"臺灣發達報酬指數","12,927.00","+","29.77",="0.23",
"臺灣高股息報酬指數","10,899.05","+","4.70",="0.04",
"臺灣就業99報酬指數","7,239.14","+","11.27",="0.16",
"臺灣高薪100報酬指數","6,104.98","+","16.20",="0.27",
"臺灣低波動高股息報酬指數","3,117.76","+","3.00",="0.10",
"未含金融電子股報酬指數","19,214.13","+","113.38",="0.59",
"小型股300報酬指數","6,217.43","+","23.06",="0.37",
"漲升股利150報酬指數","5,961.36","+","18.39",="0.31",
"漲升股利100報酬指數","5,935.10","+","21.23",="0.36",
"藍籌 30 報酬指數","5,285.72","+","15.22",="0.29",
"工業菁英 30 報酬指數","5,463.68","+","35.48",="0.65",
"電子菁英 30 報酬指數","5,525.14","+","18.42",="0.33",
"低波動精選 30 報酬指數","5,248.92","+",="0.49",="0.01",
"低貝塔 100 報酬指數","5,325.44","+","21.70",="0.41",
"中小型精選50報酬指數","5,021.28","+","9.00",="0.18",
"中小型A級動能50報酬指數","5,384.24","+","48.64",="0.91",
"水泥類報酬指數","165.64","+",="0.07",="0.04",
"食品類報酬指數","1,797.21","+","13.54",="0.76",
"塑膠類報酬指數","339.45","+",="0.13",="0.04",
"紡織纖維類報酬指數","628.48","+","2.73",="0.44",
"電機機械類報酬指數","217.78","-",="0.24","-0.11",
"電器電纜類報酬指數","48.31","+",="0.43",="0.90",
"化學生技醫療類報酬指數","125.84","+",="0.45",="0.36",
"化學類報酬指數","132.57","+",="0.51",="0.39",
"生技醫療類報酬指數","81.69","+",="0.26",="0.32",
"玻璃陶瓷類報酬指數","40.75","+",="0.08",="0.20",
"造紙類報酬指數","253.36","+","2.12",="0.84",
"鋼鐵類報酬指數","131.40","+",="0.58",="0.44",
"橡膠類報酬指數","404.43","+","4.84","1.21",
"汽車類報酬指數","350.83","+","9.78","2.87",
"電子類報酬指數","636.84","+","2.06",="0.32",
"半導體類報酬指數","209.58","+",="0.92",="0.44",
