"106年05月25日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,603.45","+","71.60",="0.62",
"發行量加權股價指數","10,108.49","+","64.07",="0.64",
"臺灣公司治理100指數","5,699.98","+","44.58",="0.79",
"臺灣50指數","7,684.62","+","58.40",="0.77",
"臺灣中型100指數","6,996.83","+","48.65",="0.70",
"臺灣資訊科技指數","9,325.34","+","84.91",="0.92",
"臺灣發達指數","8,662.15","+","60.05",="0.70",
"臺灣高股息指數","5,859.26","+","41.71",="0.72",
"臺灣就業99指數","5,922.21","+","30.92",="0.52",
"臺灣高薪100指數","5,599.54","+","44.59",="0.80",
"臺灣低波動高股息指數","1,455.22","+","9.20",="0.64",
"未含金融保險股指數","8,600.53","+","56.61",="0.66",
"未含電子股指數","13,614.25","+","83.87",="0.62",
"未含金融電子股指數","11,705.48","+","79.16",="0.68",
"小型股300指數","5,978.92","+","25.95",="0.44",
"漲升股利150指數","5,811.16","+","40.52",="0.70",
"漲升股利100指數","5,794.17","+","40.06",="0.70",
"藍籌30指數","5,326.15","+","40.43",="0.76",
"工業菁英30指數","5,520.17","+","56.49","1.03",
"電子菁英30指數","5,570.44","+","45.30",="0.82",
"低波動精選30指數","5,286.69","+","37.77",="0.72",
"低貝塔100指數","5,343.99","+","20.82",="0.39",
"中小型精選50指數","5,072.11","+","50.83","1.01",
"中小型A級動能50指數","5,421.85","+","37.61",="0.70",
"藍籌30反向一倍指數","9,355.95","-","72.11","-0.76",
"水泥窯製類指數","440.23","+","4.73","1.09",
"塑膠化工類指數","851.00","+","7.59",="0.90",
"機電類指數","2,374.64","+","15.42",="0.65",
"水泥類指數","114.72","+","1.29","1.14",
"食品類指數","1,506.62","+","41.21","2.81",
"塑膠類指數","256.90","+","2.74","1.08",
"紡織纖維類指數","482.68","+","2.95",="0.61",
"電機機械類指數","170.08","+",="0.78",="0.46",
"電器電纜類指數","42.13","+",="0.86","2.08",
"化學生技醫療類指數","97.55","+",="0.48",="0.49",
"化學類指數","99.39","+",="0.44",="0.44",
"生技醫療類指數","67.28","+",="0.38",="0.57",
"玻璃陶瓷類指數","38.03","+",="0.31",="0.82",
"造紙類指數","207.81","+","3.92","1.92",
"鋼鐵類指數","99.79","+",="0.54",="0.54",
"橡膠類指數","311.77","+","1.59",="0.51",
"汽車類指數","278.61","+","2.73",="0.99",
"電子類指數","422.96","+","2.75",="0.65",
"半導體類指數","145.91","+","1.27",="0.88",
"電腦及週邊設備類指數","103.75","+",="0.88",="0.86",
"光電類指數","43.72","-",="0.25","-0.57",
"通信網路類指數","125.64","+",="0.72",="0.58",
"電子零組件類指數","89.97","+",="0.47",="0.53",
"電子通路類指數","115.87","+",="0.66",="0.57",
"資訊服務類指數","92.22","+",="0.28",="0.30",
"其他電子類指數","107.24","+",="0.73",="0.69",
"建材營造類指數","261.81","+",="0.50",="0.19",
"航運類指數","62.26","+",="0.77","1.25",
"觀光類指數","121.94","-",="0.31","-0.25",
"金融保險類指數","1,113.93","+","5.19",="0.47",
"貿易百貨類指數","229.67","-","2.41","-1.04",
"油電燃氣類指數","134.23","-",="0.01","-0.01",
"其他類指數","249.89","+",="0.71",="0.28",
"臺指日報酬兩倍指數","14,876.63","+","187.40","1.28",
"臺指日報酬反向一倍指數","7,868.31","-","50.51","-0.64",
"電子類兩倍槓桿指數","12,205.44","+","157.69","1.31",
"電子類反向指數","8,415.64","-","55.44","-0.65",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","12,921.50","+","79.73",="0.62",
"發行量加權股價報酬指數","16,666.55","+","105.64",="0.64",
"臺灣公司治理100報酬指數","6,179.01","+","48.33",="0.79",
"臺灣50報酬指數","12,812.33","+","97.38",="0.77",
"臺灣中型100報酬指數","10,854.25","+","75.47",="0.70",
"臺灣資訊科技報酬指數","14,784.47","+","134.63",="0.92",
"臺灣發達報酬指數","13,017.25","+","90.25",="0.70",
"臺灣高股息報酬指數","10,977.18","+","78.13",="0.72",
"臺灣就業99報酬指數","7,277.14","+","38.00",="0.52",
"臺灣高薪100報酬指數","6,153.99","+","49.01",="0.80",
"臺灣低波動高股息報酬指數","3,137.60","+","19.84",="0.64",
"未含金融電子股報酬指數","19,344.96","+","130.83",="0.68",
"小型股300報酬指數","6,244.54","+","27.11",="0.44",
"漲升股利150報酬指數","6,003.23","+","41.87",="0.70",
"漲升股利100報酬指數","5,976.42","+","41.32",="0.70",
"藍籌 30 報酬指數","5,326.15","+","40.43",="0.76",
"工業菁英 30 報酬指數","5,520.17","+","56.49","1.03",
"電子菁英 30 報酬指數","5,570.44","+","45.30",="0.82",
"低波動精選 30 報酬指數","5,286.69","+","37.77",="0.72",
"低貝塔 100 報酬指數","5,346.27","+","20.83",="0.39",
"中小型精選50報酬指數","5,072.11","+","50.83","1.01",
"中小型A級動能50報酬指數","5,421.85","+","37.61",="0.70",
"水泥類報酬指數","167.52","+","1.88","1.13",
"食品類報酬指數","1,847.76","+","50.55","2.81",
"塑膠類報酬指數","343.11","+","3.66","1.08",
