"106年06月14日 大盤統計資訊"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","11,560.93","-","74.34","-0.64",
"發行量加權股價指數","10,072.46","-","55.69","-0.55",
"臺灣公司治理100指數","5,673.17","-","19.90","-0.35",
"臺灣50指數","7,661.01","-","20.45","-0.27",
"臺灣中型100指數","6,987.52","-","70.61","-1.00",
"臺灣資訊科技指數","9,363.18","-","46.95","-0.50",
"臺灣發達指數","8,604.71","-","21.50","-0.25",
"臺灣高股息指數","5,876.71","-","57.92","-0.98",
"臺灣就業99指數","5,883.84","-","27.87","-0.47",
"臺灣高薪100指數","5,581.62","-","24.23","-0.43",
"臺灣低波動高股息指數","1,452.97","-","7.81","-0.53",
"未含金融保險股指數","8,578.19","-","48.44","-0.56",
"未含電子股指數","13,548.39","-","64.06","-0.47",
"未含金融電子股指數","11,674.02","-","55.28","-0.47",
"小型股300指數","5,952.06","-","63.32","-1.05",
"漲升股利150指數","5,798.06","-","15.64","-0.27",
"漲升股利100指數","5,785.20","-","13.37","-0.23",
"藍籌30指數","5,334.68","-","6.26","-0.12",
"工業菁英30指數","5,604.64","-","2.03","-0.04",
"電子菁英30指數","5,649.20","-","3.73","-0.07",
"低波動精選30指數","5,242.45","-","5.33","-0.10",
"低貝塔100指數","5,345.09","-","24.35","-0.45",
"中小型精選50指數","5,045.89","-","42.96","-0.84",
"中小型A級動能50指數","5,399.10","-","46.73","-0.86",
"藍籌30反向一倍指數","9,338.26","+","10.93","0.12",
"水泥窯製類指數","426.90","-","3.86","-0.90",
"塑膠化工類指數","851.07","-","0.35","-0.04",
"機電類指數","2,369.04","-","14.79","-0.62",
"水泥類指數","110.90","-","0.78","-0.70",
"食品類指數","1,502.12","-","2.46","-0.16",
"塑膠類指數","257.64","+","0.62","0.24",
"紡織纖維類指數","483.01","-","2.49","-0.51",
"電機機械類指數","171.20","-","1.34","-0.78",
"電器電纜類指數","41.15","-","0.43","-1.03",
"化學生技醫療類指數","96.70","-","0.86","-0.88",
"化學類指數","98.74","-","0.83","-0.83",
"生技醫療類指數","66.51","-","0.63","-0.94",
"玻璃陶瓷類指數","37.46","-","0.71","-1.86",
"造紙類指數","217.46","+","0.69","0.32",
"鋼鐵類指數","99.17","+","0.14","0.14",
"橡膠類指數","310.91","-","1.21","-0.39",
"汽車類指數","274.62","-","1.29","-0.47",
"電子類指數","421.88","-","2.60","-0.61",
"半導體類指數","146.23","-","0.74","-0.50",
"電腦及週邊設備類指數","104.33","-","0.99","-0.94",
"光電類指數","42.83","-","0.83","-1.90",
"通信網路類指數","126.08","-","0.38","-0.30",
"電子零組件類指數","88.94","-","0.99","-1.10",
"電子通路類指數","113.67","-","1.47","-1.28",
"資訊服務類指數","89.58","-","1.10","-1.21",
"其他電子類指數","106.18","+","0.15","0.14",
"建材營造類指數","262.48","-","1.54","-0.58",
"航運類指數","62.34","-","0.98","-1.55",
"觀光類指數","122.98","-","0.60","-0.49",
"金融保險類指數","1,102.57","-","5.20","-0.47",
"貿易百貨類指數","225.65","-","1.73","-0.76",
"油電燃氣類指數","134.86","-","1.20","-0.88",
"其他類指數","247.40","-","1.94","-0.78",
"臺指日報酬兩倍指數","14,766.76","-","164.20","-1.10",
"臺指日報酬反向一倍指數","7,894.31","+","43.17","0.55",
"電子類兩倍槓桿指數","12,135.80","-","150.51","-1.23",
"電子類反向指數","8,432.06","+","51.33","0.61",
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","12,878.30","-","81.42","-0.63",
"發行量加權股價報酬指數","16,611.94","-","90.43","-0.54",
"臺灣公司治理100報酬指數","6,150.57","-","21.57","-0.35",
"臺灣50報酬指數","12,772.96","-","34.09","-0.27",
"臺灣中型100報酬指數","10,850.58","-","105.92","-0.97",
"臺灣資訊科技報酬指數","14,845.69","-","73.60","-0.49",
"臺灣發達報酬指數","12,932.48","-","31.33","-0.24",
"臺灣高股息報酬指數","11,009.87","-","108.52","-0.98",
"臺灣就業99報酬指數","7,231.26","-","34.26","-0.47",
"臺灣高薪100報酬指數","6,134.81","-","26.63","-0.43",
"臺灣低波動高股息報酬指數","3,132.76","-","16.83","-0.53",
"未含金融電子股報酬指數","19,296.38","-","90.48","-0.47",
"小型股300報酬指數","6,221.99","-","66.19","-1.05",
"漲升股利150報酬指數","5,991.20","-","16.09","-0.27",
"漲升股利100報酬指數","5,968.20","-","13.79","-0.23",
"藍籌 30 報酬指數","5,334.68","-","6.26","-0.12",
"工業菁英 30 報酬指數","5,604.64","-","2.03","-0.04",
"電子菁英 30 報酬指數","5,650.04","-","3.73","-0.07",
"低波動精選 30 報酬指數","5,242.45","-","5.33","-0.10",
"低貝塔 100 報酬指數","5,353.96","-","24.39","-0.45",
"中小型精選50報酬指數","5,045.89","-","42.96","-0.84",
"中小型A級動能50報酬指數","5,412.92","-","38.63","-0.71",
"水泥類報酬指數","161.94","-","1.13","-0.69",
"食品類報酬指數","1,842.59","-","3.02","-0.16",
"塑膠類報酬指數","344.10","+","0.83","0.24",
"紡織纖維類報酬指數","632.78","-","3.26","-0.51",
"電機機械類報酬指數","220.22","-","1.72","-0.77",
"電器電纜類報酬指數","48.17","-","0.50","-1.03",
"化學生技醫療類報酬指數","125.42","-","1.06","-0.84",
"化學類報酬指數","132.29","-","1.11","-0.83",
"生技醫療類報酬指數","81.28","-","0.70","-0.85",
"玻璃陶瓷類報酬指數","40.47","-","0.77","-1.87",
"造紙類報酬指數","270.22","+","0.85","0.32",
"鋼鐵類報酬指數","131.30","+","0.18","0.14",
"橡膠類報酬指數","405.37","-","1.58","-0.39",
"汽車類報酬指數","349.21","-","1.66","-0.47",
"電子類報酬指數","639.57","-","3.86","-0.60",
"半導體類報酬指數","211.93","-","1.06","-0.50",
"電腦及週邊設備類報酬指數","166.58","-","1.51","-0.90",
"光電類報酬指數","53.42","-","0.98","-1.80",
"通信網路類報酬指數","210.52","-","0.64","-0.30",
"電子零組件類報酬指數","133.57","-","1.49","-1.10",
"電子通路類報酬指數","190.92","-","2.47","-1.28",
"資訊服務類報酬指數","152.26","-","1.86","-1.21",
"其他電子類報酬指數","134.02","+","0.19","0.14",
"建材營造類報酬指數","383.24","-","2.25","-0.58",
"航運類報酬指數","77.53","-","1.22","-1.55",
"觀光類報酬指數","143.29","-","0.47","-0.33",
"金融保險類報酬指數","1,488.75","-","7.01","-0.47",
"貿易百貨類報酬指數","283.47","-","2.17","-0.76",
"油電燃氣類報酬指數","169.63","-","1.51","-0.88",
"其他類報酬指數","340.32","-","2.67","-0.78",
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","93,637,569,296","2,193,294,281","766,533",
"2.台灣存託憑證","20,274,227","3,353,506","548",
"3.受益憑證","0","0","0",
"4.ETF","5,732,179,192","306,917,556","42,194",
"5.受益證券","9,704,310","686,000","114",
"6.變更交易股票","12,692,627","5,425,891","737",
